2013,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Chevrolet Volt,"1,140","1,626","1,478","1,306","1,607","2,698","1,788","3,351","1,766","2,022","1,920","2,392","23,094"
Nissan LEAF,650,653,"2,236","1,937","2,138","2,225","1,864","2,420","1,953","2,002","2,003","2,529","22,610"
Tesla Model S,"1,200","1,400","2,300","2,100","1,700","1,350","1,300","1,300","1,500",800,"1,200","1,500","17,050"
Toyota Prius PHV,874,693,786,599,678,584,817,"1,791","1,152","2,095","1,100",919,"12,088"
Ford C-Max Energi,338,334,494,411,450,455,433,621,758,"1,092",941,827,"7,154"
Ford Fusion Energi,0,119,295,364,416,390,407,600,750,"1,087",870,791,"6,089"
Fiat 500e.,0,0,0,0,0,0,200,360,450,400,430,410,"2,310"
Ford Focus Electric,81,158,180,147,157,in,150,175,110,115,130,158,"1,138"
Toyota RAV4 EV,25,52,133,70,84,44,109,231,167,91,62,28,"1,096"
Mitsubishi i-MiEV,257,337,31,127,91,39,46,30,20,28,12,11,"1,029"
smart ED,,0,0,0,60,53,58,182,137,111,153,167,923
Honda Fit EV,8,15,23,22,15,208,63,66,35,40,23,51,569
Chevrolet Spark EV,0,0,0,0,0,27,103,102,78,66,87,76,539
Honda Accord PHV,2,11,26,55,58,42,54,44,51,71,68,38,526
PorschePanameraS-E,0,0,0,0,0,0,0,0,0,35,4,47,86
Cadillac ELR,0,0,0,0,0,0,0,0,0,0,0,6,6
