2016-US,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
Tesla Model S',850,1550,3990,800,1200,3100,1954,2852,4350,100,1100,5850,28896
Chevrolet Volt,996,1126,1865,1983,1901,1931,2406,2081,2031,2191,2531,3691,24139
"Tesla Model X""",210,210,1860,195,1600,2145,150,1833,3200,125,900,3815,18223
Ford Fusion Energi,581,932,1238,1331,1453,1100,1341,1422,1652,1312,1811,1099,15938
Nissan LEAF,155,930,1246,181,919,1096,1063,1066,1316,1412,1451,1899,14006
Ford C-Max Energi,350,490,610,601,538,630,155,101,689,511,121,1289,1951
BMW i3,182,248,332,814,696,608,1419,1013,391,442,629,191,1625
BMW X5 xDrive40e,181,345,313,655,500,583,649,816,482,406,436,569,5995
Fiat 500e-,305,210,455,395,425,280,225,360,690,145,590,650,5330
Audi A3 Sprtbk e-tron,321,243,332,326,361,353,349,346,312,348,394,589,4280
VW e-Golf,328,198,86,326,269,248,344,454,529,401,305,443,3931
Hyundai Sonata PHV-,115,200,215,250,235,225,315,235,260,255,285,325,3095
Chevrolet Spark EV,139,216,252,419,394,359,333,292,315,260,39,11,3035
Toyota Prius Prime,,,,,,,,,,,181,1641,2422
Porsche Cayenne S-E,146,112,244,231,191,116,148,191,131,138,119,152,2111
Volvo XC90,226,116,118,150,110,166,118,116,148,142,161,204,2015
Kia Soul EV,81,60,19,139,120,134,119,153,211,190,119,191,1128
BMW i8,32,54,89,130,146,169,166,145,158,199,113,133,1594
Ford Focus Electric,66,81,110,81,54,54,58,15,82,13,66,101,901
BMW 330e,0,0,19,25,61,26,81,51,54,92,215,240,810
smart ED,48,54,10,66,15,53,62,55,44,43,41,40,651
Mercedes B250e,58,31,66,56,49,44,50,51,51,58,52,54,632
Chevrolet Bolt EV,,,,,,,,,,,,519,519
Mercedes S550H PHV,19,36,12,29,21,21,32,30,41,114,52,11,550
Cadillac ELR,61,91,104,95,45,94,15,6,6,3,5,3,534
Porsche Panamera S-E,21,33,23,25,26,22,21,59,28,38,88,3,393
Mercedes GLE 550e,,,,,,19,30,24,26,19,30,83,231
Mercedes C350e,,,,,,,,,,,,111,111
Mitsubishi i-MiEV,2,5,1,6,2,4,20,25,11,4,5,3,94
Toyota Prius PHV,10,6,1,4,4,11,4,2,4,0,0,0,52
BMW 740e,,,,,,,,,,,,23,23
"Other """,0,0,1,0,0,0,0,0,0,0,0,0,1
